9101; time=1.8202	MaxPSpeed= 0.0864465	MaxPSpin= 0.862257	eKin = 0.0702874	eGrav = 3573.66	eTot = 3573.73	
9201; time=1.8402	MaxPSpeed= 0.144007	MaxPSpin= 1.43838	eKin = 0.195257	eGrav = 3573.56	eTot = 3573.75	
9301; time=1.8602	MaxPSpeed= 0.20345	MaxPSpin= 2.03427	eKin = 0.39009	eGrav = 3573.39	eTot = 3573.78	
9401; time=1.8802	MaxPSpeed= 0.265846	MaxPSpin= 2.6495	eKin = 0.664117	eGrav = 3573.16	eTot = 3573.82	
9501; time=1.9002	MaxPSpeed= 0.100688	MaxPSpin= 1.0914	eKin = 0.103616	eGrav = 3573.23	eTot = 3573.34	
9601; time=1.9202	MaxPSpeed= 0.028284	MaxPSpin= 0.284573	eKin = 0.00759285	eGrav = 3573.29	eTot = 3573.3	
9701; time=1.9402	MaxPSpeed= 0.0403381	MaxPSpin= 0.338153	eKin = 0.0133459	eGrav = 3573.28	eTot = 3573.3	
9801; time=1.9602	MaxPSpeed= 0.10163	MaxPSpin= 0.984216	eKin = 0.0946804	eGrav = 3573.21	eTot = 3573.31	
9901; time=1.9802	MaxPSpeed= 0.0761516	MaxPSpin= 0.67446	eKin = 0.0503202	eGrav = 3573.1	eTot = 3573.15	
10001; time=2.0002	MaxPSpeed= 0.00440448	MaxPSpin= 0.0152885	eKin = 0.000145003	eGrav = 3573.18	eTot = 3573.18	
10101; time=2.0202	MaxPSpeed= 0.0664313	MaxPSpin= 0.661313	eKin = 0.0414567	eGrav = 3573.15	eTot = 3573.19	
10201; time=2.0402	MaxPSpeed= 0.0161361	MaxPSpin= 0.0673679	eKin = 0.00161557	eGrav = 3573.13	eTot = 3573.14	
10301; time=2.0602	MaxPSpeed= 0.0023273	MaxPSpin= 0.0212334	eKin = 8.33171e-05	eGrav = 3573.13	eTot = 3573.13	
10401; time=2.0802	MaxPSpeed= 0.000865546	MaxPSpin= 0.0166557	eKin = 3.41143e-05	eGrav = 3573.13	eTot = 3573.13	
10501; time=2.1002	MaxPSpeed= 0.000956137	MaxPSpin= 0.0185562	eKin = 2.79495e-05	eGrav = 3573.13	eTot = 3573.13	
10601; time=2.1202	MaxPSpeed= 0.000184894	MaxPSpin= 0.0135442	eKin = 1.20699e-05	eGrav = 3573.13	eTot = 3573.13	
10701; time=2.1402	MaxPSpeed= 0.000265687	MaxPSpin= 0.0182676	eKin = 2.0919e-05	eGrav = 3573.13	eTot = 3573.13	
10801; time=2.1602	MaxPSpeed= 0.000307629	MaxPSpin= 0.0189793	eKin = 2.08519e-05	eGrav = 3573.13	eTot = 3573.13	
10901; time=2.1802	MaxPSpeed= 0.00030494	MaxPSpin= 0.017059	eKin = 1.79643e-05	eGrav = 3573.14	eTot = 3573.14	
11001; time=2.2002	MaxPSpeed= 0.000334273	MaxPSpin= 0.0202857	eKin = 2.35499e-05	eGrav = 3573.14	eTot = 3573.14	
11101; time=2.2202	MaxPSpeed= 0.000437165	MaxPSpin= 0.0201251	eKin = 2.69326e-05	eGrav = 3573.14	eTot = 3573.14	
11201; time=2.2402	MaxPSpeed= 0.000467271	MaxPSpin= 0.0217876	eKin = 3.18381e-05	eGrav = 3573.14	eTot = 3573.14	
11301; time=2.2602	MaxPSpeed= 0.000523626	MaxPSpin= 0.0213655	eKin = 3.36267e-05	eGrav = 3573.14	eTot = 3573.14	
11401; time=2.2802	MaxPSpeed= 0.000433786	MaxPSpin= 0.0209889	eKin = 2.76531e-05	eGrav = 3573.14	eTot = 3573.14	
11501; time=2.3002	MaxPSpeed= 0.00043587	MaxPSpin= 0.0203739	eKin = 2.83509e-05	eGrav = 3573.14	eTot = 3573.14	
11601; time=2.3202	MaxPSpeed= 0.00056562	MaxPSpin= 0.0195025	eKin = 3.32753e-05	eGrav = 3573.14	eTot = 3573.14	
11701; time=2.3402	MaxPSpeed= 0.000471232	MaxPSpin= 0.0205704	eKin = 2.92985e-05	eGrav = 3573.14	eTot = 3573.14	
11801; time=2.3602	MaxPSpeed= 0.000458283	MaxPSpin= 0.0204498	eKin = 2.93217e-05	eGrav = 3573.14	eTot = 3573.14	
11901; time=2.3802	MaxPSpeed= 0.000551227	MaxPSpin= 0.021027	eKin = 3.54631e-05	eGrav = 3573.14	eTot = 3573.14	
12001; time=2.4002	MaxPSpeed= 0.00111089	MaxPSpin= 0.0209637	eKin = 4.69843e-05	eGrav = 3573.15	eTot = 3573.15	
12101; time=2.4202	MaxPSpeed= 0.000518486	MaxPSpin= 0.021913	eKin = 3.36732e-05	eGrav = 3573.15	eTot = 3573.15	
12201; time=2.4402	MaxPSpeed= 0.000465824	MaxPSpin= 0.0174163	eKin = 2.14775e-05	eGrav = 3573.14	eTot = 3573.14	
12301; time=2.4602	MaxPSpeed= 0.000542535	MaxPSpin= 0.0211707	eKin = 3.50363e-05	eGrav = 3573.15	eTot = 3573.15	
12401; time=2.4802	MaxPSpeed= 0.00144307	MaxPSpin= 0.023057	eKin = 8.85076e-05	eGrav = 3573.15	eTot = 3573.15	
